AccountLength,Location,AddtoWishlist,DesktopSessions,AppSessions,DesktopTransactions,TotalProductDetailViews,SessionDuration,PromotionClicks,AvgOrderValue,SaleProductViews,DiscountRatePerVisitedProducts,ProductDetailViewPerAppSession,AppTransactions,AddToCartPerSession,CustomerServiceCalls,Churn
128,415,25,265,45,17,110,197,87,245,91,11,10,3,3,1,0
107,415,26,162,27,17,123,196,103,254,103,11,14,3,4,1,0
137,415,0,243,41,10,114,121,110,163,104,7,12,5,3,0,0
84,408,0,299,51,5,71,62,88,197,89,9,7,7,2,2,0
75,415,0,167,28,13,113,148,122,187,121,8,10,3,3,3,0
118,510,0,223,38,19,98,221,101,204,118,9,6,6,2,0,0
121,510,24,218,37,30,88,349,108,213,118,10,8,7,2,3,0
147,415,0,157,27,9,79,103,94,212,96,10,7,6,2,0,0
117,408,0,185,31,30,97,352,80,216,90,10,9,4,2,1,0
141,415,37,259,44,19,84,222,111,326,97,15,11,5,3,0,0
65,415,0,129,22,19,137,229,83,209,111,9,13,6,3,4,1
74,415,0,188,32,14,127,163,148,196,94,9,9,5,2,0,0
168,408,0,129,22,9,96,105,71,141,128,6,11,2,3,1,0
95,510,0,157,27,21,88,248,75,192,115,9,12,5,3,3,0
62,415,0,121,21,26,70,307,76,203,99,9,13,6,4,4,0
161,415,0,333,57,27,67,318,97,161,128,7,5,9,1,4,1
85,408,27,196,33,24,139,281,90,89,75,4,14,4,4,1,0
93,510,0,191,32,19,114,218,111,130,121,6,8,3,2,3,0
76,510,33,190,32,18,66,213,65,166,108,7,10,5,3,1,0
73,415,0,224,38,14,90,160,88,193,74,9,13,2,4,1,0
147,415,0,155,26,20,117,240,93,209,133,9,11,4,3,0,0
77,408,0,62,11,14,89,170,121,210,64,9,6,6,2,5,1
130,415,0,183,31,6,112,73,99,182,78,8,10,19,3,0,0
111,415,0,110,19,12,103,137,102,190,105,9,8,6,2,2,0
132,510,0,81,14,21,86,245,72,237,115,11,10,2,3,0,0
174,415,0,124,21,24,76,277,112,251,115,11,16,5,4,3,0
57,408,39,213,36,16,115,191,112,183,115,8,10,3,3,0,0
54,408,0,134,23,13,73,156,100,102,68,5,15,4,4,3,0
20,415,0,190,32,22,109,258,84,182,102,8,6,6,2,0,0
49,510,0,119,20,18,117,215,109,179,90,8,11,1,3,1,0
142,415,0,85,14,12,95,137,63,251,148,11,14,6,4,2,0
75,510,0,226,38,17,105,202,107,246,98,11,10,5,3,1,0
172,408,0,212,36,3,121,31,115,293,78,13,13,10,3,3,0
12,408,0,250,42,21,118,252,119,280,90,13,12,3,3,1,1
57,408,25,177,30,17,94,195,75,214,116,10,8,4,2,0,0
72,415,37,220,37,18,80,217,102,153,71,7,15,6,4,3,0
36,408,30,146,25,14,128,163,80,129,109,6,15,6,4,0,0
78,415,0,131,22,19,64,224,116,228,108,10,10,5,3,1,0
136,415,33,204,35,16,106,188,99,102,107,5,11,6,3,3,0
149,408,0,140,24,23,94,272,92,188,108,8,11,9,3,1,0
98,408,0,126,21,14,102,167,85,188,135,8,9,2,3,3,0
135,408,41,173,29,17,85,204,107,122,78,6,15,15,4,0,1
34,510,0,125,21,24,82,282,98,312,78,14,10,4,3,2,0
160,415,0,86,15,14,77,165,110,179,92,8,9,4,2,3,0
64,510,0,154,26,19,67,226,118,265,86,12,4,3,1,1,0
59,408,28,121,21,18,97,213,92,163,116,7,9,5,2,2,0
65,415,0,211,36,14,120,163,122,135,118,6,13,5,4,3,0
142,408,0,187,32,11,133,135,74,242,127,11,7,5,2,2,0
119,415,0,159,27,20,114,231,117,143,91,6,9,3,2,5,1
97,415,24,133,23,18,135,217,58,71,79,3,11,3,3,1,0
52,408,0,192,33,23,108,270,96,237,87,11,8,5,2,3,0
60,408,0,221,38,18,57,211,115,249,129,11,7,3,2,1,0
10,408,0,186,32,16,112,190,66,283,57,13,11,6,3,2,0
96,415,0,160,27,23,117,268,67,229,68,10,9,5,3,2,0
87,415,0,151,26,19,83,220,116,204,127,9,10,3,3,5,1
81,408,0,176,30,21,67,249,85,270,98,12,10,3,3,1,0
141,415,0,127,22,15,98,180,62,141,128,6,8,2,2,1,0
121,408,30,198,34,6,129,75,77,181,77,8,6,3,2,3,1
68,415,0,149,25,21,70,247,164,130,103,6,12,3,3,3,0
125,408,0,229,39,15,103,177,126,189,95,9,12,8,3,1,0
174,408,0,192,33,14,97,170,94,167,54,8,11,4,3,1,0
116,415,34,269,46,15,83,178,142,166,106,7,12,3,3,2,0
74,510,33,194,33,21,91,246,96,138,92,6,15,3,4,2,0
149,408,28,181,31,16,92,188,64,266,53,12,13,3,3,3,0
38,408,0,131,22,14,98,163,97,159,106,7,8,6,2,2,0
40,415,41,148,25,14,74,170,88,214,102,10,6,5,2,2,0
43,415,0,252,43,18,105,213,104,158,67,7,9,4,3,0,0
113,408,0,125,21,18,93,206,119,129,139,6,8,8,2,0,0
126,408,0,212,36,18,70,217,80,154,60,7,8,1,2,1,0
150,510,0,179,30,14,101,169,110,149,100,7,14,3,4,4,1
138,408,0,242,41,14,93,171,83,295,104,13,12,7,3,3,0
162,510,46,225,38,16,97,188,84,255,61,11,12,2,3,0,0
147,510,0,249,42,13,83,149,85,173,109,8,8,4,2,3,0
90,415,0,203,35,19,146,227,117,152,105,7,7,4,2,1,0
85,415,0,236,40,13,109,157,94,188,99,8,12,3,3,0,0
50,415,0,157,27,19,90,223,72,181,111,8,6,2,2,1,0
82,415,0,300,51,15,109,181,100,270,73,12,12,4,3,0,1
144,408,0,62,10,7,117,77,85,173,99,8,8,7,2,4,1
46,415,0,214,36,14,72,164,104,178,113,8,8,3,2,2,0
70,408,0,170,29,13,98,155,102,229,76,10,15,2,4,1,0
144,415,0,201,34,26,99,304,74,224,119,10,13,2,4,1,0
116,415,0,215,37,17,104,205,79,279,109,13,13,5,3,3,0
55,408,25,166,28,12,123,136,95,176,90,8,11,2,3,3,0
70,415,24,250,42,22,101,260,98,223,68,10,10,4,3,1,0
106,510,0,211,36,21,96,249,85,191,88,9,12,1,3,2,1
128,510,29,179,30,19,104,226,86,323,78,15,9,7,2,0,0
94,408,0,158,27,13,105,155,101,190,84,9,8,5,2,4,1
111,510,0,214,36,18,118,209,76,182,98,8,12,2,3,1,0
74,415,35,154,26,10,104,123,84,202,57,9,11,9,3,2,0
128,415,0,238,40,21,125,248,93,209,68,9,14,4,4,1,1
82,510,0,144,24,17,61,195,105,110,94,5,11,2,3,1,0
155,415,0,203,35,16,100,191,104,196,119,9,9,4,2,0,1
80,415,0,124,21,15,100,173,107,253,62,11,8,9,2,1,0
78,415,0,253,43,15,93,178,112,264,105,12,10,7,3,3,0
90,415,0,179,30,16,71,191,81,128,91,6,11,7,3,3,0
104,408,0,278,47,7,106,81,113,163,137,7,10,5,3,1,0
73,415,0,160,27,18,110,213,72,174,72,8,13,4,4,0,0
99,415,0,198,34,18,87,207,76,191,113,9,9,3,2,4,0
120,408,0,212,36,18,131,209,104,167,96,8,5,5,1,1,1
77,415,0,252,43,17,72,206,126,275,109,12,10,7,3,2,1
98,510,21,161,27,21,114,252,83,160,92,7,4,8,1,4,0
108,415,0,178,30,16,137,189,76,129,102,6,15,5,4,0,0
135,415,0,152,26,10,82,119,105,180,100,8,11,6,3,0,0
95,408,0,135,23,16,99,184,106,245,102,11,13,9,3,1,0
122,408,0,171,29,15,94,174,109,249,75,11,11,2,3,1,0
95,408,0,238,40,16,65,187,98,190,115,9,12,4,3,4,0
36,510,29,281,48,17,102,202,76,187,113,8,9,6,2,2,0
93,510,21,118,20,14,131,165,115,217,86,10,10,3,3,1,0
141,415,32,149,25,11,91,131,97,219,142,10,10,1,3,1,0
157,408,0,230,39,13,90,148,121,241,108,11,10,7,3,3,0
120,408,0,165,28,27,100,317,83,119,86,5,8,8,2,1,0
103,415,0,185,31,19,117,223,94,223,91,10,13,2,3,2,0
98,408,0,161,27,16,117,191,113,228,113,10,12,4,3,4,0
125,408,0,127,22,18,108,206,90,248,114,11,13,7,4,1,0
63,415,0,59,10,14,125,170,59,211,88,10,9,3,3,1,0
36,510,42,197,33,22,89,255,122,138,126,6,20,6,5,0,1
64,510,0,163,28,13,83,152,109,58,122,3,14,3,4,1,0
74,415,0,283,48,19,114,220,48,170,115,8,9,4,3,1,1
112,510,36,114,19,13,117,158,82,178,118,8,10,3,3,2,0
97,408,0,240,41,18,125,215,111,143,81,6,9,5,2,2,0
46,408,0,210,36,19,92,227,77,200,116,9,13,7,4,1,0
41,408,22,214,36,12,102,142,86,142,123,6,7,3,2,0,0
121,510,0,191,32,16,103,184,117,221,103,10,10,4,3,3,0
193,415,0,171,29,11,124,132,95,113,89,5,12,3,3,1,0
130,510,0,154,26,9,119,110,98,227,117,10,9,5,2,2,0
85,408,0,201,34,20,52,229,104,253,106,11,12,3,3,1,0
162,415,0,71,12,13,108,158,87,155,82,7,9,3,2,4,1
61,510,27,188,32,12,124,147,103,226,129,10,6,6,2,4,1
92,408,0,92,16,16,90,194,123,175,86,8,9,4,2,2,0
131,408,36,214,36,14,115,162,117,265,102,12,10,4,3,3,0
90,415,0,146,25,19,92,218,114,147,123,7,11,2,3,3,0
75,408,0,166,28,13,125,158,86,257,80,12,6,5,2,1,0
78,415,0,231,39,20,115,230,140,261,120,12,10,3,3,1,0
82,408,0,200,34,17,96,201,102,206,60,9,7,1,2,4,0
163,408,0,197,33,17,109,203,128,206,80,9,9,10,2,1,0
91,510,0,130,22,15,112,173,83,247,130,11,11,3,3,3,0
75,415,21,176,30,18,97,218,106,238,134,11,5,4,1,5,0
91,510,0,203,35,18,106,210,113,196,129,9,12,3,3,3,0
127,510,36,183,31,11,117,127,76,263,71,12,11,8,3,1,0
113,415,23,205,35,13,101,152,60,159,59,7,10,5,3,2,0
110,510,0,149,25,23,115,276,84,194,112,9,12,3,3,1,0
120,415,39,200,34,19,68,220,97,254,116,11,11,4,3,0,0
157,415,28,193,33,17,107,196,74,110,139,5,7,5,2,3,0
103,510,0,247,42,17,47,196,84,201,96,9,12,4,3,1,0
117,408,0,167,28,15,86,178,87,249,132,11,14,7,4,2,1
140,415,0,232,39,14,101,160,94,110,98,5,14,6,4,3,0
127,408,0,147,25,17,91,204,78,203,110,9,14,3,4,1,0
83,408,0,272,46,18,87,216,126,121,105,5,12,4,3,1,0
121,408,0,182,31,19,121,218,98,162,103,7,9,5,2,1,0
145,408,43,258,44,14,97,162,95,287,86,13,11,4,3,2,0
113,408,0,194,33,19,99,221,125,172,67,8,11,6,3,1,0
